NOM_BORNE_RECHARGE,NOM_PARC,ADRESSE,VILLE,PROVINCE,NIVEAU_RECHARGE,MODE_TARIFICATION,TYPE_EMPLACEMENT,LONGITUDE,LATITUDE
"CEA-10639","8008 | BSR | SO | 6098 Mazarin","6098 Rue Mazarin Montréal QC H4E 2X2","Montréal","QC","Niveau 2","par heure","sur rue",-73.601307,45.456124
"CEA-10828","8009 | BSR | SO | 5505A Angers","5505A rue Angers Montréal QC H4E 1G5","Montréal","QC","Niveau 2","par heure","sur rue",-73.584785,45.462909
"CEA-10821","8009 | BSR | SO | 5505A Angers","5505A rue Angers Montréal QC H4E 1G5","Montréal","QC","Niveau 2","par heure","sur rue",-73.584785,45.462909
"CEA-13596","8010 | BSR | SO | 1218 Notre-Dame","1218 Notre-Dame Montréal QC H3C 1K5","Montréal","QC","Niveau 2","par heure","sur rue",-73.563841,45.494001
"CEA-13582","8010 | BSR | SO | 1218 Notre-Dame","1218 Notre-Dame Montréal QC H3C 1K5","Montréal","QC","Niveau 2","par heure","sur rue",-73.563841,45.494001
"CEA-10829","8011 | BSR | SO | 123 Courcelle","123 Courcelle Montréal QC H4C 3B4","Montréal","QC","Niveau 2","par heure","sur rue",-73.585516,45.471288
"CEA-10757","8011 | BSR | SO | 123 Courcelle","123 Courcelle Montréal QC H4C 3B4","Montréal","QC","Niveau 2","par heure","sur rue",-73.585516,45.471288
"CEA-10648","8012 | BSR | SO | 2441 Notre-Dame","2441A Notre-Dame Montréal QC H3J 1N6","Montréal","QC","Niveau 2","par heure","sur rue",-73.574679,45.483504
"CEA-10929","8012 | BSR | SO | 2441 Notre-Dame","2441A Notre-Dame Montréal QC H3J 1N6","Montréal","QC","Niveau 2","par heure","sur rue",-73.574679,45.483504
"CEA-10733","8013 | BSR | SO | 355 Ash","355 Avenue Ash Montréal QC H3K 2R2","Montréal","QC","Niveau 2","par heure","sur rue",-73.553091,45.478463
"CEA-10564","8013 | BSR | SO | 355 Ash","355 Avenue Ash Montréal QC H3K 2R2","Montréal","QC","Niveau 2","par heure","sur rue",-73.553091,45.478463
"CEA-10734","8014 | BSR | SO | 2415 Allard","2415 Allard Montréal QC H4E 2L5","Montréal","QC","Niveau 2","par heure","sur rue",-73.59495,45.450905
"CEA-10822","8014 | BSR | SO | 2415 Allard","2415 Allard Montréal QC H4E 2L5","Montréal","QC","Niveau 2","par heure","sur rue",-73.59495,45.450905
"CEA-10535","8015 | BSR | SO | 2523 Grand Trunk","2523A Grand Trunk Montréal QC H3K 1M9","Montréal","QC","Niveau 2","par heure","sur rue",-73.567527,45.477636
"CEA-10602","8015 | BSR | SO | 2523 Grand Trunk","2523A Grand Trunk Montréal QC H3K 1M9","Montréal","QC","Niveau 2","par heure","sur rue",-73.567527,45.477636
"CEA-10614","8016 | BSR | SO | 1660 Centre","1660A Centre Montréal QC H3K 1G4","Montréal","QC","Niveau 2","par heure","sur rue",-73.55982,45.484347
"CEA-10605","8016 | BSR | SO | 1660 Centre","1660A Centre Montréal QC H3K 1G4","Montréal","QC","Niveau 2","par heure","sur rue",-73.55982,45.484347
"CEA-12654","8017 | BSR | SO | 1817 De Villiers","1817 De Villiers Montréal QC H4E 1K9","Montréal","QC","Niveau 2","par heure","sur rue",-73.588294,45.461286
"CEA-12655","8017 | BSR | SO | 1817 De Villiers","1817 De Villiers Montréal QC H4E 1K9","Montréal","QC","Niveau 2","par heure","sur rue",-73.588294,45.461286
"CEA-10935","8018 | BSR | SO | 4523 St-Jacques","4523 St-Jacques Montréal QC H4C 1K3","Montréal","QC","Niveau 2","par heure","sur rue",-73.591291,45.47561
"CEA-10729","8018 | BSR | SO | 4523 St-Jacques","4523 St-Jacques Montréal QC H4C 1K3","Montréal","QC","Niveau 2","par heure","sur rue",-73.591291,45.47561
"CEA-10537","8019 | BSR | SO | 4039 Notre-Dame","4039 Rue Notre-Dame Ouest  Montréal QC H4C 2S1","Montréal","QC","Niveau 2","par heure","sur rue",-73.584978,45.477507
"CEA-10823","8019 | BSR | SO | 4039 Notre-Dame","4039 Rue Notre-Dame Ouest  Montréal QC H4C 2S1","Montréal","QC","Niveau 2","par heure","sur rue",-73.584978,45.477507
"CEA-10544","8020 | BSR | SO | 3041 Notre-Dame","3041 Notre-Dame  Montréal QC H4C 2J2","Montréal","QC","Niveau 2","par heure","sur rue",-73.578967,45.480909
